Sublist	Category	Term	RT	Genes	Count	%	P-Value	Benjamini	Fisher Exact	-log
	GOTERM_BP_DIRECT	DNA repair	RT		34	2.6	2.20E-03	6.20E-02	1.20E-03	2.920818754
	GOTERM_BP_DIRECT	response to endoplasmic reticulum stress	RT		14	1.1	3.50E-03	9.10E-02	1.20E-03	2.920818754
	GOTERM_BP_DIRECT	regulation of circadian rhythm	RT		12	0.9	3.90E-03	9.90E-02	1.20E-03	2.920818754
	GOTERM_BP_DIRECT	negative regulation of proteasomal ubiquitin-dependent protein catabolic process	RT		8	0.6	5.20E-03	1.20E-01	1.20E-03	2.920818754
	GOTERM_BP_DIRECT	positive regulation of DNA repair	RT		9	0.7	5.70E-03	1.30E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	regulation of stem cell differentiation	RT		6	0.5	8.60E-03	1.80E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	positive regulation of endopeptidase activity	RT		5	0.4	1.10E-02	2.20E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	negative regulation of amyloid fibril formation	RT		5	0.4	1.10E-02	2.20E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	hepatocyte apoptotic process	RT		5	0.4	1.10E-02	2.20E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	negative regulation of chromatin silencing	RT		5	0.4	1.10E-02	2.20E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	primary miRNA processing	RT		5	0.4	1.10E-02	2.20E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	positive regulation of cellular protein catabolic process	RT		5	0.4	1.10E-02	2.20E-01	1.50E-03	2.823908741
	GOTERM_BP_DIRECT	RNA catabolic process	RT		8	0.6	7.30E-03	1.60E-01	1.70E-03	2.769551079
	GOTERM_BP_DIRECT	response to muscle activity	RT		7	0.5	9.00E-03	1.80E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	hydrogen peroxide catabolic process	RT		7	0.5	9.00E-03	1.80E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	positive regulation of histone acetylation	RT		7	0.5	9.00E-03	1.80E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	regulation of centrosome duplication	RT		6	0.5	1.10E-02	2.10E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	establishment of protein localization to membrane	RT		4	0.3	1.80E-02	3.10E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	"fructose 1,6-bisphosphate metabolic process"	RT		4	0.3	1.80E-02	3.10E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	DNA topological change	RT		4	0.3	1.80E-02	3.10E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	malate metabolic process	RT		4	0.3	1.80E-02	3.10E-01	1.90E-03	2.721246399
	GOTERM_BP_DIRECT	negative regulation of catalytic activity	RT		17	1.3	4.90E-03	1.20E-01	2.00E-03	2.698970004
	GOTERM_BP_DIRECT	one-carbon metabolic process	RT		8	0.6	8.50E-03	1.80E-01	2.10E-03	2.677780705
	GOTERM_BP_DIRECT	cellular response to interferon-gamma	RT		15	1.2	5.70E-03	1.30E-01	2.20E-03	2.657577319
	GOTERM_BP_DIRECT	regulation of mRNA processing	RT		5	0.4	1.50E-02	2.60E-01	2.20E-03	2.657577319
	GOTERM_BP_DIRECT	maturation of LSU-rRNA	RT		5	0.4	1.50E-02	2.60E-01	2.20E-03	2.657577319
	GOTERM_BP_DIRECT	negative regulation of protein kinase activity	RT		12	0.9	6.80E-03	1.50E-01	2.30E-03	2.638272164
	GOTERM_BP_DIRECT	protein N-linked glycosylation	RT		10	0.8	7.60E-03	1.70E-01	2.30E-03	2.638272164
	GOTERM_BP_DIRECT	aging	RT		24	1.8	4.90E-03	1.20E-01	2.40E-03	2.619788758
	GOTERM_BP_DIRECT	chromatin remodeling	RT		22	1.7	5.40E-03	1.20E-01	2.50E-03	2.602059991
	GOTERM_BP_DIRECT	ubiquitin-dependent ERAD pathway	RT		13	1	7.00E-03	1.50E-01	2.50E-03	2.602059991
	GOTERM_BP_DIRECT	regulation of mRNA stability	RT		8	0.6	9.90E-03	2.00E-01	2.50E-03	2.602059991
	GOTERM_BP_DIRECT	nuclear envelope organization	RT		6	0.5	1.30E-02	2.40E-01	2.50E-03	2.602059991
	GOTERM_BP_DIRECT	cellular response to glucose starvation	RT		10	0.8	8.60E-03	1.80E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	protein localization to bicellular tight junction	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	positive regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	positive regulation of low-density lipoprotein receptor activity	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	regulation of type I interferon-mediated signaling pathway	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	positive regulation of RNA export from nucleus	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	establishment of Sertoli cell barrier	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	GMP salvage	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	positive regulation of cyclic-nucleotide phosphodiesterase activity	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	scaRNA localization to Cajal body	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	modification of postsynaptic actin cytoskeleton	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	membrane to membrane docking	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	stress granule disassembly	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	negative regulation of transcription from RNA polymerase II promoter in response to stress	RT		3	0.2	3.80E-02	5.00E-01	2.60E-03	2.585026652
	GOTERM_BP_DIRECT	mitochondrial fragmentation involved in apoptotic process	RT		4	0.3	2.50E-02	3.80E-01	2.90E-03	2.537602002
	GOTERM_BP_DIRECT	tubulin complex assembly	RT		4	0.3	2.50E-02	3.80E-01	2.90E-03	2.537602002
	GOTERM_BP_DIRECT	tetrahydrofolate interconversion	RT		4	0.3	2.50E-02	3.80E-01	2.90E-03	2.537602002
	GOTERM_BP_DIRECT	erythrocyte homeostasis	RT		4	0.3	2.50E-02	3.80E-01	2.90E-03	2.537602002
	GOTERM_BP_DIRECT	mitotic cell cycle	RT		20	1.5	6.60E-03	1.50E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	positive regulation of protein complex assembly	RT		10	0.8	9.70E-03	2.00E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	cell motility	RT		8	0.6	1.10E-02	2.20E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	nucleosome positioning	RT		5	0.4	1.80E-02	3.10E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	cellular response to steroid hormone stimulus	RT		5	0.4	1.80E-02	3.10E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	"mRNA cis splicing, via spliceosome"	RT		5	0.4	1.80E-02	3.10E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	negative regulation of DNA recombination	RT		5	0.4	1.80E-02	3.10E-01	3.00E-03	2.522878745
	GOTERM_BP_DIRECT	DNA recombination	RT		13	1	8.40E-03	1.80E-01	3.10E-03	2.508638306
	GOTERM_BP_DIRECT	blastocyst development	RT		6	0.5	1.60E-02	2.80E-01	3.20E-03	2.494850022
	GOTERM_BP_DIRECT	positive regulation of cellular senescence	RT		6	0.5	1.60E-02	2.80E-01	3.20E-03	2.494850022
	GOTERM_BP_DIRECT	barbed-end actin filament capping	RT		6	0.5	1.60E-02	2.80E-01	3.20E-03	2.494850022
	GOTERM_BP_DIRECT	cellular response to epidermal growth factor stimulus	RT		9	0.7	1.10E-02	2.20E-01	3.40E-03	2.468521083
	GOTERM_BP_DIRECT	receptor internalization	RT		9	0.7	1.30E-02	2.40E-01	3.90E-03	2.408935393
	GOTERM_BP_DIRECT	fatty acid beta-oxidation	RT		9	0.7	1.30E-02	2.40E-01	3.90E-03	2.408935393
	GOTERM_BP_DIRECT	myoblast differentiation	RT		6	0.5	1.90E-02	3.20E-01	4.00E-03	2.397940009
	GOTERM_BP_DIRECT	cellular response to nitric oxide	RT		5	0.4	2.30E-02	3.70E-01	4.00E-03	2.397940009
	GOTERM_BP_DIRECT	cellular response to drug	RT		11	0.8	1.20E-02	2.40E-01	4.40E-03	2.356547324
	GOTERM_BP_DIRECT	nucleoside monophosphate phosphorylation	RT		4	0.3	3.20E-02	4.60E-01	4.40E-03	2.356547324
	GOTERM_BP_DIRECT	regulation of lamellipodium assembly	RT		4	0.3	3.20E-02	4.60E-01	4.40E-03	2.356547324
	GOTERM_BP_DIRECT	nucleotide biosynthetic process	RT		4	0.3	3.20E-02	4.60E-01	4.40E-03	2.356547324
	GOTERM_BP_DIRECT	RNA transport	RT		4	0.3	3.20E-02	4.60E-01	4.40E-03	2.356547324
	GOTERM_BP_DIRECT	peptidyl-proline hydroxylation to 4-hydroxy-L-proline	RT		4	0.3	3.20E-02	4.60E-01	4.40E-03	2.356547324
	GOTERM_BP_DIRECT	actin filament organization	RT		18	1.4	1.00E-02	2.00E-01	4.60E-03	2.337242168
	GOTERM_BP_DIRECT	response to testosterone	RT		8	0.6	1.70E-02	3.00E-01	4.90E-03	2.30980392
	GOTERM_BP_DIRECT	cell division	RT		39	3	8.30E-03	1.80E-01	5.00E-03	2.301029996
	GOTERM_BP_DIRECT	endocytic recycling	RT		10	0.8	1.50E-02	2.70E-01	5.10E-03	2.292429824
	GOTERM_BP_DIRECT	protein modification process	RT		12	0.9	1.40E-02	2.50E-01	5.20E-03	2.283996656
	GOTERM_BP_DIRECT	protein peptidyl-prolyl isomerization	RT		7	0.5	2.00E-02	3.30E-01	5.20E-03	2.283996656
	GOTERM_BP_DIRECT	positive regulation of DNA binding	RT		7	0.5	2.00E-02	3.30E-01	5.20E-03	2.283996656
	GOTERM_BP_DIRECT	mitochondrial fusion	RT		5	0.4	2.80E-02	4.10E-01	5.30E-03	2.27572413
	GOTERM_BP_DIRECT	negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process	RT		5	0.4	2.80E-02	4.10E-01	5.30E-03	2.27572413
	GOTERM_BP_DIRECT	regulation of protein catabolic process	RT		5	0.4	2.80E-02	4.10E-01	5.30E-03	2.27572413
	GOTERM_BP_DIRECT	protein targeting	RT		8	0.6	2.00E-02	3.30E-01	5.80E-03	2.236572006
	GOTERM_BP_DIRECT	cell proliferation	RT		22	1.7	1.20E-02	2.30E-01	6.10E-03	2.214670165
	GOTERM_BP_DIRECT	aerobic respiration	RT		11	0.8	1.70E-02	2.90E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	positive regulation of telomerase activity	RT		7	0.5	2.30E-02	3.70E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	positive regulation of erythrocyte differentiation	RT		7	0.5	2.30E-02	3.70E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	positive regulation of interferon-alpha production	RT		6	0.5	2.60E-02	3.90E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	protein import into mitochondrial outer membrane	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	regulation of cellular senescence	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	"tRNA splicing, via endonucleolytic cleavage and ligation"	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	NADH metabolic process	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	CTP biosynthetic process	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	establishment of endothelial intestinal barrier	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	NADP metabolic process	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	pyruvate metabolic process	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	positive regulation of gene silencing by miRNA	RT		4	0.3	4.10E-02	5.10E-01	6.20E-03	2.207608311
	GOTERM_BP_DIRECT	protein localization to nucleus	RT		8	0.6	2.20E-02	3.60E-01	6.70E-03	2.173925197
	GOTERM_BP_DIRECT	nucleosome disassembly	RT		5	0.4	3.40E-02	4.70E-01	6.80E-03	2.167491087
	GOTERM_BP_DIRECT	maturation of SSU-rRNA	RT		5	0.4	3.40E-02	4.70E-01	6.80E-03	2.167491087
	GOTERM_BP_DIRECT	regulation of cell shape	RT		19	1.5	1.50E-02	2.60E-01	7.10E-03	2.148741651
	GOTERM_BP_DIRECT	ATP-dependent chromatin remodeling	RT		7	0.5	2.60E-02	3.90E-01	7.30E-03	2.13667714
	GOTERM_BP_DIRECT	double-strand break repair via nonhomologous end joining	RT		7	0.5	2.60E-02	3.90E-01	7.30E-03	2.13667714
	GOTERM_BP_DIRECT	ATP metabolic process	RT		7	0.5	2.60E-02	3.90E-01	7.30E-03	2.13667714
	GOTERM_BP_DIRECT	posttranscriptional regulation of gene expression	RT		6	0.5	3.00E-02	4.40E-01	7.50E-03	2.124938737
	GOTERM_BP_DIRECT	plasma membrane repair	RT		6	0.5	3.00E-02	4.40E-01	7.50E-03	2.124938737
	GOTERM_BP_DIRECT	microtubule cytoskeleton organization	RT		17	1.3	1.60E-02	2.80E-01	7.60E-03	2.119186408
	GOTERM_BP_DIRECT	response to hydrogen peroxide	RT		9	0.7	2.30E-02	3.70E-01	7.70E-03	2.113509275
	GOTERM_BP_DIRECT	positive regulation of actin filament polymerization	RT		9	0.7	2.30E-02	3.70E-01	7.70E-03	2.113509275
	GOTERM_BP_DIRECT	actin filament bundle assembly	RT		7	0.5	3.00E-02	4.30E-01	8.60E-03	2.065501549
	GOTERM_BP_DIRECT	response to hyperoxia	RT		5	0.4	4.00E-02	5.10E-01	8.60E-03	2.065501549
	GOTERM_BP_DIRECT	iron ion transport	RT		5	0.4	4.00E-02	5.10E-01	8.60E-03	2.065501549
	GOTERM_BP_DIRECT	positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	RT		9	0.7	2.50E-02	3.80E-01	8.70E-03	2.060480747
	GOTERM_BP_DIRECT	negative regulation of intrinsic apoptotic signaling pathway	RT		6	0.5	3.50E-02	4.80E-01	9.00E-03	2.045757491
	GOTERM_BP_DIRECT	cellular response to unfolded protein	RT		6	0.5	3.50E-02	4.80E-01	9.00E-03	2.045757491
	GOTERM_BP_DIRECT	Golgi to plasma membrane protein transport	RT		6	0.5	3.50E-02	4.80E-01	9.00E-03	2.045757491
	GOTERM_BP_DIRECT	negative regulation of extrinsic apoptotic signaling pathway via death domain receptors	RT		6	0.5	3.50E-02	4.80E-01	9.00E-03	2.045757491
	GOTERM_BP_DIRECT	heterochromatin assembly	RT		6	0.5	3.50E-02	4.80E-01	9.00E-03	2.045757491
	GOTERM_BP_DIRECT	DNA replication initiation	RT		6	0.5	3.50E-02	4.80E-01	9.00E-03	2.045757491
	GOTERM_BP_DIRECT	epithelial cell differentiation	RT		13	1	2.10E-02	3.50E-01	9.10E-03	2.040958608
	GOTERM_BP_DIRECT	cellular protein localization	RT		10	0.8	2.50E-02	3.80E-01	9.20E-03	2.036212173
	GOTERM_BP_DIRECT	response to ischemia	RT		10	0.8	2.50E-02	3.80E-01	9.20E-03	2.036212173
	GOTERM_BP_DIRECT	regulation of macroautophagy	RT		9	0.7	2.80E-02	4.10E-01	9.80E-03	2.008773924
	GOTERM_BP_DIRECT	positive regulation of NF-kappaB transcription factor activity	RT		19	1.5	2.00E-02	3.30E-01	9.90E-03	2.004364805
	GOTERM_BP_DIRECT	response to xenobiotic stimulus	RT		26	2	1.80E-02	3.10E-01	1.00E-02	2
	GOTERM_BP_DIRECT	autophagosome assembly	RT		10	0.8	2.70E-02	4.00E-01	1.00E-02	2
	GOTERM_BP_DIRECT	negative regulation of extrinsic apoptotic signaling pathway	RT		7	0.5	3.30E-02	4.70E-01	1.00E-02	2
	GOTERM_BP_DIRECT	cholesterol biosynthetic process	RT		7	0.5	3.30E-02	4.70E-01	1.00E-02	2
	GOTERM_BP_DIRECT	chromosome segregation	RT		11	0.8	2.80E-02	4.10E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	establishment or maintenance of cell polarity	RT		9	0.7	3.10E-02	4.40E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	antigen processing and presentation	RT		8	0.6	3.40E-02	4.80E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	natural killer cell mediated cytotoxicity	RT		6	0.5	4.00E-02	5.10E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	regulated exocytosis	RT		5	0.4	4.70E-02	5.60E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	establishment of endothelial barrier	RT		5	0.4	4.70E-02	5.60E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	actin polymerization or depolymerization	RT		5	0.4	4.70E-02	5.60E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	muscle cell development	RT		5	0.4	4.70E-02	5.60E-01	1.10E-02	1.958607315
	GOTERM_BP_DIRECT	cellular protein modification process	RT		13	1	2.70E-02	4.00E-01	1.20E-02	1.920818754
	GOTERM_BP_DIRECT	positive regulation of protein localization to plasma membrane	RT		9	0.7	3.40E-02	4.70E-01	1.20E-02	1.920818754
	GOTERM_BP_DIRECT	tRNA processing	RT		7	0.5	3.80E-02	5.00E-01	1.20E-02	1.920818754
	GOTERM_BP_DIRECT	response to cocaine	RT		7	0.5	4.20E-02	5.20E-01	1.30E-02	1.886056648
	GOTERM_BP_DIRECT	membrane organization	RT		6	0.5	4.60E-02	5.60E-01	1.30E-02	1.886056648
	GOTERM_BP_DIRECT	actin cytoskeleton reorganization	RT		9	0.7	4.00E-02	5.10E-01	1.50E-02	1.823908741
	GOTERM_BP_DIRECT	ribosome biogenesis	RT		7	0.5	4.70E-02	5.60E-01	1.50E-02	1.823908741
	GOTERM_BP_DIRECT	Ras protein signal transduction	RT		12	0.9	3.60E-02	4.80E-01	1.60E-02	1.795880017
	GOTERM_BP_DIRECT	positive regulation of protein catabolic process	RT		12	0.9	3.60E-02	4.80E-01	1.60E-02	1.795880017
	GOTERM_BP_DIRECT	positive regulation of NIK/NF-kappaB signaling	RT		10	0.8	4.10E-02	5.10E-01	1.70E-02	1.769551079
	GOTERM_BP_DIRECT	retina development in camera-type eye	RT		9	0.7	4.40E-02	5.40E-01	1.70E-02	1.769551079
	GOTERM_BP_DIRECT	endosomal transport	RT		10	0.8	4.50E-02	5.50E-01	1.80E-02	1.744727495
	GOTERM_BP_DIRECT	mitochondrion organization	RT		11	0.8	4.40E-02	5.50E-01	1.90E-02	1.721246399
	GOTERM_BP_DIRECT	carbohydrate metabolic process	RT		19	1.5	3.70E-02	5.00E-01	2.00E-02	1.698970004
	GOTERM_BP_DIRECT	protein localization to plasma membrane	RT		18	1.4	3.90E-02	5.00E-01	2.10E-02	1.677780705
	GOTERM_BP_DIRECT	"retrograde transport, endosome to Golgi"	RT		11	0.8	4.80E-02	5.70E-01	2.10E-02	1.677780705
	GOTERM_BP_DIRECT	macromolecular complex assembly	RT		17	1.3	4.50E-02	5.50E-01	2.40E-02	1.619788758
	GOTERM_BP_DIRECT	cell-cell adhesion	RT		20	1.5	4.80E-02	5.80E-01	2.80E-02	1.552841969
	GOTERM_CC_DIRECT	extracellular exosome	RT		528	40.5	9.00E-188	8.00E-185	1.90E-188	187.7212464
	GOTERM_CC_DIRECT	cytosol	RT		795	61	3.10E-161	1.40E-158	1.30E-161	160.8860566
	GOTERM_CC_DIRECT	membrane	RT		469	36	7.00E-116	2.10E-113	2.10E-116	115.6777807
	GOTERM_CC_DIRECT	cytoplasm	RT		682	52.3	3.40E-89	7.70E-87	1.70E-89	88.76955108
	GOTERM_CC_DIRECT	cytosolic ribosome	RT		68	5.2	5.50E-70	9.70E-68	5.40E-72	71.26760624
	GOTERM_CC_DIRECT	focal adhesion	RT		142	10.9	1.60E-64	2.50E-62	2.20E-65	64.65757732
	GOTERM_CC_DIRECT	nucleoplasm	RT		488	37.5	9.90E-58	1.30E-55	4.70E-58	57.32790214
	GOTERM_CC_DIRECT	nucleus	RT		634	48.7	2.60E-55	2.90E-53	1.50E-55	54.82390874
	GOTERM_CC_DIRECT	ribosome	RT		78	6	1.10E-45	1.10E-43	9.20E-47	46.03621217
	GOTERM_CC_DIRECT	ribonucleoprotein complex	RT		75	5.8	3.90E-45	3.50E-43	3.10E-46	45.50863831
	GOTERM_CC_DIRECT	cytosolic large ribosomal subunit	RT		44	3.4	1.90E-38	1.60E-36	5.00E-40	39.30103
	GOTERM_CC_DIRECT	ficolin-1-rich granule lumen	RT		60	4.6	1.20E-37	8.80E-36	8.70E-39	38.06048075
	GOTERM_CC_DIRECT	proteasome complex	RT		42	3.2	8.10E-37	5.50E-35	2.10E-38	37.67778071
	GOTERM_CC_DIRECT	secretory granule lumen	RT		53	4.1	6.00E-32	3.80E-30	4.80E-33	32.31875876
	GOTERM_CC_DIRECT	melanosome	RT		49	3.8	2.40E-30	1.40E-28	1.80E-31	30.74472749
	GOTERM_CC_DIRECT	cytosolic small ribosomal subunit	RT		34	2.6	8.30E-30	4.60E-28	2.10E-31	30.67778071
	GOTERM_CC_DIRECT	mitochondrion	RT		203	15.6	1.70E-28	8.70E-27	6.80E-29	28.16749109
	GOTERM_CC_DIRECT	macromolecular complex	RT		128	9.8	8.70E-28	4.30E-26	2.70E-28	27.56863624
	GOTERM_CC_DIRECT	spliceosomal complex	RT		48	3.7	6.30E-25	3.00E-23	6.80E-26	25.16749109
	GOTERM_CC_DIRECT	catalytic step 2 spliceosome	RT		38	2.9	1.50E-21	6.50E-20	1.40E-22	21.85387196
	GOTERM_CC_DIRECT	small ribosomal subunit	RT		22	1.7	1.50E-19	6.20E-18	3.60E-21	20.4436975
	GOTERM_CC_DIRECT	proteasome accessory complex	RT		17	1.3	9.60E-19	3.60E-17	3.80E-21	20.4202164
	GOTERM_CC_DIRECT	polysomal ribosome	RT		23	1.8	3.40E-19	1.40E-17	1.10E-20	19.95860731
	GOTERM_CC_DIRECT	"chromosome, telomeric region"	RT		49	3.8	7.30E-19	2.80E-17	1.30E-19	18.88605665
	GOTERM_CC_DIRECT	perinuclear region of cytoplasm	RT		113	8.7	2.10E-17	7.50E-16	8.20E-18	17.08618615
	GOTERM_CC_DIRECT	endoplasmic reticulum	RT		146	11.2	2.60E-16	8.90E-15	6.90E-17	16.16115091
	GOTERM_CC_DIRECT	eukaryotic 48S preinitiation complex	RT		14	1.1	1.10E-13	3.70E-12	1.60E-15	14.79588002
	GOTERM_CC_DIRECT	mitochondrial matrix	RT		69	5.3	1.80E-14	6.00E-13	5.70E-15	14.24412514
	GOTERM_CC_DIRECT	CENP-A containing nucleosome	RT		14	1.1	1.60E-12	4.50E-11	3.70E-14	13.43179828
	GOTERM_CC_DIRECT	eukaryotic 43S preinitiation complex	RT		14	1.1	1.60E-12	4.50E-11	3.70E-14	13.43179828
	GOTERM_CC_DIRECT	polysome	RT		19	1.5	7.10E-13	2.20E-11	4.50E-14	13.34678749
	GOTERM_CC_DIRECT	eukaryotic translation initiation factor 3 complex	RT		13	1	5.60E-12	1.50E-10	1.20E-13	12.92081875
	GOTERM_CC_DIRECT	cytoplasmic stress granule	RT		28	2.1	1.90E-12	5.30E-11	2.70E-13	12.56863624
	GOTERM_CC_DIRECT	aminoacyl-tRNA synthetase multienzyme complex	RT		11	0.8	5.80E-11	1.40E-09	7.10E-13	12.14874165
	GOTERM_CC_DIRECT	mitochondrial nucleoid	RT		20	1.5	1.20E-11	3.10E-10	1.10E-12	11.95860731
	GOTERM_CC_DIRECT	proteasome core complex	RT		14	1.1	3.10E-11	7.90E-10	1.20E-12	11.92081875
	GOTERM_CC_DIRECT	U2-type precatalytic spliceosome	RT		20	1.5	6.70E-11	1.60E-09	7.00E-12	11.15490196
	GOTERM_CC_DIRECT	"proteasome regulatory particle, base subcomplex"	RT		9	0.7	2.10E-09	4.20E-08	1.60E-11	10.79588002
	GOTERM_CC_DIRECT	nuclear speck	RT		66	5.1	6.10E-11	1.50E-09	2.30E-11	10.63827216
	GOTERM_CC_DIRECT	cytoplasmic ribonucleoprotein granule	RT		25	1.9	1.70E-10	3.90E-09	2.70E-11	10.56863624
	GOTERM_CC_DIRECT	U2 snRNP	RT		15	1.2	4.80E-10	1.10E-08	3.20E-11	10.49485002
	GOTERM_CC_DIRECT	proteasome regulatory particle	RT		9	0.7	1.00E-08	1.90E-07	1.50E-10	9.823908741
	GOTERM_CC_DIRECT	nuclear matrix	RT		30	2.3	1.60E-09	3.30E-08	3.60E-10	9.443697499
	GOTERM_CC_DIRECT	actin cytoskeleton	RT		45	3.5	1.60E-09	3.30E-08	5.00E-10	9.301029996
	GOTERM_CC_DIRECT	mitochondrial inner membrane	RT		66	5.1	1.30E-09	2.70E-08	5.10E-10	9.292429824
	GOTERM_CC_DIRECT	nucleolus	RT		145	11.1	1.00E-09	2.30E-08	6.00E-10	9.22184875
	GOTERM_CC_DIRECT	chaperonin-containing T-complex	RT		9	0.7	3.50E-08	6.50E-07	7.80E-10	9.107905397
	GOTERM_CC_DIRECT	nuclear envelope	RT		37	2.8	4.90E-09	9.40E-08	1.40E-09	8.853871964
	GOTERM_CC_DIRECT	methylosome	RT		9	0.7	9.90E-08	1.70E-06	2.90E-09	8.537602002
	GOTERM_CC_DIRECT	"eukaryotic translation initiation factor 3 complex, eIF3m"	RT		7	0.5	4.20E-07	6.30E-06	4.00E-09	8.397940009
	GOTERM_CC_DIRECT	precatalytic spliceosome	RT		11	0.8	1.00E-07	1.70E-06	6.20E-09	8.207608311
	GOTERM_CC_DIRECT	chaperone complex	RT		13	1	1.20E-07	1.90E-06	1.10E-08	7.958607315
	GOTERM_CC_DIRECT	mitochondrial proton-transporting ATP synthase complex	RT		11	0.8	1.80E-07	2.80E-06	1.20E-08	7.920818754
	GOTERM_CC_DIRECT	microtubule	RT		49	3.8	3.90E-08	7.20E-07	1.50E-08	7.823908741
	GOTERM_CC_DIRECT	cell body	RT		22	1.7	7.70E-08	1.40E-06	1.50E-08	7.823908741
	GOTERM_CC_DIRECT	stress fiber	RT		20	1.5	8.70E-08	1.50E-06	1.60E-08	7.795880017
	GOTERM_CC_DIRECT	nuclear chromosome	RT		17	1.3	1.30E-07	2.00E-06	1.90E-08	7.721246399
	GOTERM_CC_DIRECT	microtubule cytoskeleton	RT		35	2.7	8.30E-08	1.50E-06	2.60E-08	7.585026652
	GOTERM_CC_DIRECT	vesicle	RT		32	2.5	1.50E-07	2.30E-06	4.40E-08	7.356547324
	GOTERM_CC_DIRECT	U12-type spliceosomal complex	RT		12	0.9	7.50E-07	1.10E-05	7.50E-08	7.124938737
	GOTERM_CC_DIRECT	postsynaptic density	RT		40	3.1	8.90E-07	1.30E-05	3.40E-07	6.468521083
	GOTERM_CC_DIRECT	lamellipodium	RT		32	2.5	1.40E-06	2.00E-05	4.50E-07	6.346787486
