Protein IDs,Protein names,Gene names,Razor + unique peptides,Sequence coverage [%],Mol. weight [kDa],Sequence length,Q-value,Score,Intensity,Peptide IDs,Evidence IDs,Best MS/MS
P04626,Receptor tyrosine-protein kinase erbB-2 (EC 2.7.10.1) (Metastatic lymph node gene 19 protein) (MLN 19) (Proto-oncogene Neu) (Proto-oncogene c-ErbB-2) (Tyrosine kinase-type cell surface receptor HER2) (p185erbB2) (CD antigen CD340),ERBB2 HER2 MLN19 NEU NGL,3,4.3,137.91,1255,0.0,7.7325,3272000.0,9593;11364;24880,33434;39718;85742,34750
P04632,Calpain small subunit 1 (CSS1) (Calcium-activated neutral proteinase small subunit) (CANP small subunit) (Calcium-dependent protease small subunit) (CDPS) (Calcium-dependent protease small subunit 1) (Calpain regulatory subunit),CAPNS1 CAPN4 CAPNS,7,36.2,28.315,268,0.0,44.498,33620000.0,13782;20136;24716;25870;26355;31045;31233,48791;48792;48793;48794;48795;48796;70119;70120;70121;70122;85155;89152;89153;90847;90848;107925;108551,50958
P04733,Metallothionein-1F (MT-1F) (Metallothionein-IF) (MT-IF),MT1F PRO0376,3,67.2,6.0863,61,0.0,10.938,60049000.0,2955;16050;20007;23592,10367;10368;10369;10370;10371;10372;10373;10374;10375;56512;69655;69656;69657;69658;69659;69660;81246;81247;81248,10815
P04792,Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27),HSPB1 HSP27 HSP28,2,16.1,22.782,205,0.0,14.685,15275000.0,16627;29538,58390;58391;58392;58393;102594;102595;102596,61272
P04818,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45),TYMS TS OK/SW-cl.29,2,11.2,35.716,313,0.0,11.425,5074500.0,5930;12918,21066;45308;45309,21900
P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit) (Ribophorin I) (RPN-I) (Ribophorin-1),RPN1,36,57.5,68.569,607,0.0,323.31,1875800000.0,1756;1926;1927;1928;2593;3965;3966;5054;5188;9219;9509;10044;12152;12587;13560;16077;16492;16493;17929;18700;20917;21208;21853;22157;22593;23345;23804;24508;26000;26353;26429;27376;27647;27648;28538;29622,6185;6186;6187;6188;6189;6190;6191;6192;6193;6194;6195;6196;6197;6198;6764;6765;6766;6767;9109;9110;9111;9112;9113;9114;9115;13866;13867;13868;13869;13870;13871;13872;13873;13874;13875;13876;13877;13878;17766;17767;17768;17769;17770;17771;17772;17773;18255;18256;18257;18258;18259;18260;18261;18262;18263;18264;32135;32136;32137;32138;32139;33099;33100;33101;33102;33103;33104;35004;35005;42727;42728;42729;42730;44166;44167;47870;47871;47872;47873;47874;47875;47876;47877;47878;47879;56603;57893;57894;57895;57896;57897;57898;57899;62824;62825;65280;65281;65282;65283;65284;65285;65286;65287;65288;65289;72799;72800;72801;72802;72803;72804;72805;72806;73765;73766;73767;76005;77028;77029;77030;77031;77032;77033;77034;78457;78458;78459;80493;80494;82024;82025;82026;82027;82028;82029;82030;82031;84474;84475;84476;84477;84478;89512;89513;89514;90838;90839;90840;90841;90842;91144;91145;94183;94184;94185;94186;94187;94188;95340;95341;95342;95343;95344;95345;98872;98873;98874;102866;102867;102868;102869;102870;102871,6451
P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 (Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 63 kDa subunit) (RIBIIR) (Ribophorin II) (RPN-II) (Ribophorin-2),RPN2,23,48.7,69.283,631,0.0,294.15,927480000.0,5854;6019;8620;9200;9417;14419;15768;18357;18984;19129;20241;20803;21332;21736;22072;22073;24361;24750;26276;26277;27112;30805;30811,20809;20810;20811;21347;21348;21349;21350;21351;30191;32066;32067;32068;32069;32070;32071;32072;32073;32074;32075;32076;32785;32786;51020;51021;51022;51023;51024;51025;51026;51027;51028;51029;51030;51031;51032;51033;51034;55622;55623;55624;55625;64152;66177;66178;66179;66180;66181;66182;66183;66184;66581;66582;66583;66584;66585;70534;70535;70536;72452;72453;72454;74194;74195;74196;74197;74198;74199;75690;75691;76734;76735;76736;76737;76738;76739;76740;76741;76742;84008;84009;85267;90560;90561;90562;90563;90564;90565;90566;90567;90568;90569;90570;90571;90572;90573;93337;93338;93339;93340;93341;93342;93343;93344;107055;107056;107057;107058;107059;107060;107061;107062;107063;107064;107065;107091;107092;107093;107094;107095;107096,21634
P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2 (Adenylate cyclase-inhibiting G alpha protein),GNAI2 GNAI2B,5,37.2,40.45,355,0.0,27.003,10662000.0,6663;8348;12821;13536;14501;17153;18162;22431;27244,23655;23656;23657;29160;44960;47805;51301;60067;60068;60069;63601;63602;63603;63604;63605;63606;63607;63608;77955;93696;93697,24627
P05023,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1),ATP1A1,43,45.8,112.89,1023,0.0,323.31,1353000000.0,331;386;387;481;2639;2720;3054;3681;4113;4114;4467;4502;4754;7515;8208;10356;10765;11822;13604;14613;14852;17712;18448;19134;19135;20431;20490;20899;21088;21339;21544;21867;22161;22162;24832;25886;28004;28624;30205;30592;30593;30795;31205,1088;1089;1090;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1682;1683;1684;1685;9271;9272;9273;9274;9275;9276;9598;9599;9600;9601;9602;9603;9604;9605;9606;10686;12939;12940;12941;12942;12943;12944;14357;14358;14359;14360;14361;14362;14363;14364;14365;14366;14367;14368;14369;15745;15868;15869;15870;15871;15872;15873;15874;16815;16816;26334;26335;26336;28706;28707;28708;28709;28710;28711;28712;28713;28714;36141;37682;41403;41404;41405;41406;41407;41408;41409;41410;41411;41412;48106;48107;51767;51768;51769;51770;51771;51772;51773;51774;51775;51776;51777;51778;51779;51780;52678;52679;52680;52681;52682;52683;52684;52685;52686;62057;62058;62059;62060;62061;62062;64564;64565;64566;64567;64568;66596;66597;66598;66599;66600;66601;66602;66603;66604;66605;66606;66607;71134;71135;71136;71137;71138;71349;71350;72732;72733;72734;72735;73364;73365;73366;73367;73368;73369;74222;74223;74224;74225;74226;74227;74228;74229;74230;74979;76063;76064;76065;76066;76067;77039;77040;77041;77042;77043;77044;77045;77046;77047;77048;85581;85582;85583;85584;85585;85586;85587;85588;85589;85590;85591;89191;96785;96786;96787;96788;96789;96790;96791;96792;96793;96794;96795;96796;99313;99314;99315;99316;99317;99318;99319;104924;106211;106212;106213;106214;106989;106990;106991;106992;106993;108477;108478;108479;108480;108481;108482;108483;108484,1131
P05026,Sodium/potassium-transporting ATPase subunit beta-1 (Sodium/potassium-dependent ATPase subunit beta-1),ATP1B1 ATP1B,11,45.2,35.061,303,0.0,63.337,218890000.0,2916;2917;3356;6249;17131;23042;25615;26014;27773;28441;31108,10209;10210;10211;10212;10213;10214;10215;10216;10217;10218;11791;11792;11793;11794;22109;22110;60006;79738;88199;88200;88201;89563;89564;89565;95869;95870;95871;95872;98517;98518;98519;98520;98521;98522;98523;98524;108112;108113;108114;108115;108116;108117,10639
P05091,"Aldehyde dehydrogenase, mitochondrial (EC 1.2.1.3) (ALDH class 2) (ALDH-E2) (ALDHI)",ALDH2 ALDM,20,52.2,56.381,517,0.0,228.49,566770000.0,1900;5485;5943;6925;11988;13794;16135;16412;17471;17973;23409;26062;26063;26156;26181;26389;26438;27685;28659;28660;29702;29874;31454,6670;6671;6672;6673;6674;6675;6676;19429;19430;19431;21091;21092;21093;21094;21095;21096;24496;24497;24498;24499;24500;24501;24502;42163;42164;42165;42166;42167;42168;42169;42170;48840;48841;48842;48843;48844;48845;48846;48847;56767;56768;56769;56770;56771;56772;56773;56774;56775;56776;56777;57686;61285;61286;61287;61288;61289;62951;62952;62953;80633;89751;89752;89753;89754;89755;89756;89757;89758;89759;89760;89761;89762;89763;89764;90092;90093;90094;90095;90096;90097;90098;90212;90213;90214;90215;90216;90991;90992;91181;91182;91183;91184;95483;95484;95485;95486;95487;95488;99465;99466;99467;99468;99469;99470;99471;103171;103172;103173;103174;103175;103858;103859;103860;103861;103862;109301,6962
P05114,Non-histone chromosomal protein HMG-14 (High mobility group nucleosome-binding domain-containing protein 1),HMGN1 HMG14,9,51.0,10.659,100,0.0,128.04,114110000.0,16277;16278;21897;21898;21899;25988;25989;29571;29572,57240;57241;57242;57243;76168;76169;76170;76171;76172;76173;89485;89486;102712;102713;102714;102715;102716;102717;102718;102719,60067
P05141,"ADP/ATP translocase 2 (ADP,ATP carrier protein 2) (ADP,ATP carrier protein, fibroblast isoform) (Adenine nucleotide translocator 2) (ANT 2) (Solute carrier family 25 member 5) [Cleaved into: ADP/ATP translocase 2, N-terminally processed]",SLC25A5 AAC2 ANT2,6,34.9,32.852,298,0.0,35.449,427870000.0,346;3483;7465;10928;11643;15379;16376;18171;22283;22284;25832;30651,1162;1163;1164;1165;1166;1167;1168;1169;12230;12231;12232;12233;12234;12235;12236;12237;12238;12239;12240;12241;12242;26162;26163;26164;38204;38205;38206;38207;38208;40739;40740;40741;40742;40743;40744;40745;40746;40747;40748;40749;40750;54434;54435;54436;54437;57533;57534;57535;57536;57537;63654;63655;63656;63657;63658;77440;77441;77442;77443;77444;77445;77446;77447;77448;77449;89020;89021;89022;89023;89024;89025;106458;106459;106460;106461;106462;106463;106464,1216
P05154,Plasma serine protease inhibitor (Acrosomal serine protease inhibitor) (Plasminogen activator inhibitor 3) (PAI-3) (PAI3) (Protein C inhibitor) (PCI) (Serpin A5),SERPINA5 PCI PLANH3 PROCI,4,11.6,45.674,406,0.0,12.512,5807600.0,2867;5855;10295;20397,10064;20812;35936;71033;71034,10487
P05161,Ubiquitin-like protein ISG15 (Interferon-induced 15 kDa protein) (Interferon-induced 17 kDa protein) (IP17) (Ubiquitin cross-reactive protein) (hUCRP),ISG15 G1P2 UCRP,2,26.1,17.887,165,0.0,12.374,4330500.0,16633;29275,58413;101713;101714,61292
P05162,Galectin-2 (Gal-2) (Beta-galactoside-binding lectin L-14-II) (HL14) (Lactose-binding lectin 2) (S-Lac lectin 2),LGALS2,2,32.6,14.644,132,0.0,24.883,3230300.0,9350;14498,32571;51294,33838
P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial (PCCase subunit alpha) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit alpha)",PCCA,6,13.0,80.058,728,0.0,18.734,13226000.0,2075;14890;19199;20377;28031;31294,7319;52877;66796;66797;70988;96870;108744,7624
P05166,"Propionyl-CoA carboxylase beta chain, mitochondrial (PCCase subunit beta) (EC 6.4.1.3) (Propanoyl-CoA:carbon dioxide ligase subunit beta)",PCCB,8,21.9,58.215,539,0.0,28.982,27901000.0,3462;10555;12866;13935;18343;19642;25567;27426,12174;36877;45127;49309;64119;68351;68352;68353;88056;88057;88058;94378;94379;94380,12670
P05198,Eukaryotic translation initiation factor 2 subunit 1 (Eukaryotic translation initiation factor 2 subunit alpha) (eIF-2-alpha) (eIF-2A) (eIF-2alpha) (eIF2-alpha),EIF2S1 EIF2A,12,53.3,36.112,315,0.0,243.68,110040000.0,477;1096;7233;9205;11809;12063;12064;12612;23285;25999;29553;29983,1668;3772;3773;3774;3775;3776;25507;32085;41350;42431;42432;42433;42434;42435;44276;44277;80360;89508;89509;89510;89511;102629;102630;104243;104244;104245,1731
P05204,Non-histone chromosomal protein HMG-17 (High mobility group nucleosome-binding domain-containing protein 2),HMGN2 HMG17,7,53.3,9.3926,90,0.0,20.863,1083900000.0,677;6289;14872;19027;21788;21789;25918,2395;2396;22297;22298;22299;22300;22301;22302;22303;22304;22305;22306;22307;52796;52797;52798;52799;66288;66289;66290;66291;66292;66293;75853;75854;75855;75856;75857;75858;89294;89295;89296;89297,2486
P05362,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),ICAM1,11,26.3,57.825,532,0.0,121.72,126420000.0,2429;3043;4188;7343;10504;11714;15140;18107;23082;28152;30064,8525;8526;8527;8528;10659;10660;10661;14655;14656;14657;25805;25806;25807;25808;36712;36713;36714;36715;36716;36717;41018;53669;53670;63436;63437;63438;63439;63440;79840;79841;97337;97338;97339;97340;97341;97342;104531;104532;104533,8895
P05386,Large ribosomal subunit protein P1 (60S acidic ribosomal protein P1),RPLP1 RRP1,2,66.7,11.514,114,0.0,33.676,183070000.0,158;1475;15116,497;498;499;500;501;5136;5137;5138;5139;5140;5141;5142;5143;5144;5145;5146;5147;5148;5149;5150;5151;53593;53594;53595;53596,516
P05387,Large ribosomal subunit protein P2 (60S acidic ribosomal protein P2) (Renal carcinoma antigen NY-REN-44),RPLP2 D11S2243E RPP2,7,92.2,11.665,115,0.0,126.69,247550000.0,13735;15116;15486;16612;20913;28665;31377,48637;48638;48639;48640;48641;48642;48643;48644;53593;53594;53595;53596;54799;54800;54801;58308;58309;58310;58311;58312;58313;58314;58315;58316;58317;58318;58319;72786;72787;72788;72789;72790;72791;72792;72793;99480;109055;109056;109057;109058;109059;109060,50800
P05388,Large ribosomal subunit protein uL10 (60S acidic ribosomal protein P0) (60S ribosomal protein L10E),RPLP0,13,50.2,34.273,317,0.0,111.8,1728299999.9999998,935;936;994;2985;4487;5836;10564;11189;11190;11682;13598;28079;28766,3190;3191;3192;3193;3194;3195;3196;3197;3198;3199;3200;3201;3202;3203;3204;3205;3206;3207;3445;3446;3447;3448;3449;3450;3451;3452;3453;3454;10484;10485;10486;10487;10488;10489;10490;10491;15824;15825;15826;20726;20727;20728;36896;36897;36898;36899;36900;36901;36902;36903;36904;39135;39136;39137;39138;39139;39140;39141;40894;40895;40896;40897;40898;40899;40900;40901;48076;48077;48078;48079;48080;48081;48082;48083;48084;48085;48086;48087;97028;97029;97030;97031;97032;99830,3319
P05455,Lupus La protein (La autoantigen) (La ribonucleoprotein) (Sjoegren syndrome type B antigen) (SS-B),SSB,31,58.6,46.836,408,0.0,202.35,1008200000.0,258;757;1397;1452;2226;3204;5824;6012;6236;7832;8227;8228;8441;9357;9358;9521;10286;11538;11539;13503;15253;15479;16737;19458;21027;22361;24378;24379;24924;24925;30898,830;831;832;833;834;835;836;837;838;2677;2678;2679;2680;2681;2682;4881;5035;5036;7845;7846;7847;7848;7849;7850;7851;7852;7853;7854;7855;11223;11224;20670;20671;20672;20673;20674;21320;22069;27356;27357;28788;28789;28790;28791;28792;28793;28794;28795;29484;32595;32596;32597;32598;32599;32600;32601;32602;33166;35904;40332;40333;40334;40335;47694;47695;47696;47697;47698;47699;47700;47701;53994;53995;54785;54786;54787;54788;58756;58757;58758;67688;67689;67690;67691;67692;67693;73180;73181;73182;73183;77709;77710;77711;77712;84090;84091;84092;84093;84094;84095;84096;85855;85856;85857;85858;85859;85860;85861;85862;85863;85864;85865;85866;85867;85868;85869;107414;107415;107416;107417,861
P05556,Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29),ITGB1 FNRB MDF2 MSK12,18,25.3,88.414,798,0.0,100.12,189660000.0,4057;4571;8467;9868;10175;10599;12073;15273;17901;18318;19076;19087;21684;21685;23578;24078;27469;30152,14191;14192;14193;14194;14195;14196;14197;16206;16207;16208;16209;16210;29588;29589;34379;34380;35484;35485;35486;35487;35488;35489;35490;37035;37036;37037;37038;37039;37040;37041;37042;42468;42469;54042;54043;54044;62725;62726;62727;62728;62729;62730;64058;66436;66437;66438;66439;66440;66476;75466;75467;75468;75469;75470;81182;81183;81184;83038;83039;83040;94569;104761;104762;104763;104764;104765;104766,14759
P05783,"Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)",KRT18 CYK18 PIG46,29,66.3,48.057,430,0.0,323.31,2509000000.0,2143;2219;2350;5266;7914;10437;10438;11022;14682;15770;15791;16238;16913;18031;20888;21856;21939;22793;22794;23226;24510;24511;24542;27503;28553;28733;29964;30608;31449,7567;7568;7569;7570;7571;7572;7573;7814;7815;8252;18531;18532;18533;18534;18535;18536;27639;27640;27641;27642;36468;36469;36470;36471;36472;36473;36474;36475;36476;36477;36478;36479;36480;36481;36482;36483;36484;36485;36486;36487;36488;36489;36490;36491;36492;36493;36494;36495;36496;36497;36498;36499;36500;36501;36502;36503;36504;36505;36506;36507;36508;36509;36510;36511;38526;52051;52052;52053;52054;52055;52056;55629;55630;55631;55696;57132;57133;59374;59375;63157;63158;63159;63160;63161;63162;63163;63164;63165;63166;63167;63168;63169;63170;63171;63172;63173;63174;63175;63176;63177;63178;63179;63180;63181;63182;63183;63184;72707;72708;72709;72710;76018;76019;76020;76021;76022;76023;76024;76025;76026;76027;76028;76029;76030;76286;76287;76288;76289;76290;76291;76292;76293;76294;76295;76296;76297;76298;78983;78984;78985;78986;78987;78988;80191;80192;80193;80194;80195;80196;80197;80198;80199;80200;84484;84485;84486;84487;84488;84592;84593;84594;84595;84596;84597;84598;84599;84600;84601;84602;84603;84604;84605;84606;84607;84608;94702;94703;94704;94705;94706;94707;94708;94709;94710;94711;94712;94713;94714;94715;94716;94717;94718;94719;94720;98924;98925;99708;99709;104162;104163;104164;104165;104166;104167;104168;104169;104170;104171;104172;104173;106309;109289,7889
P06132,Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37),UROD,6,30.5,40.786,367,0.0,24.396,35027000.0,343;5491;11311;24840;27532;30810,1151;19461;19462;19463;19464;19465;39520;39521;39522;39523;85613;94894;107089;107090,1198
P06454,"Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha-1]",PTMA TMSA,6,36.0,12.203,111,0.0,113.21,447580000.0,93;94;8237;15193;23008;23625,274;275;276;277;278;279;280;281;282;283;284;285;28816;28817;53821;79643;79644;81360;81361;81362;81363,286
P06493,Cyclin-dependent kinase 1 (CDK1) (EC 2.7.11.22) (EC 2.7.11.23) (Cell division control protein 2 homolog) (Cell division protein kinase 1) (p34 protein kinase),CDK1 CDC2 CDC28A CDKN1 P34CDC2,13,51.2,34.095,297,0.0,61.881,163520000.0,1605;4277;4278;12473;13312;14291;15866;17095;19916;21068;24851;27249;30220,5593;5594;5595;5596;5597;5598;14946;14947;14948;14949;14950;14951;14952;14953;14954;14955;14956;43745;46867;46868;46869;46870;46871;46872;46873;46874;46875;50534;55944;55945;55946;59883;59884;59885;59886;69337;69338;69339;69340;73300;73301;73302;73303;85637;85638;93760;93761;93762;93763;104959;104960;104961,5830
P06576,"ATP synthase subunit beta, mitochondrial (EC 7.1.2.2) (ATP synthase F1 subunit beta)",ATP5F1B ATP5B ATPMB ATPSB,26,67.9,56.559,529,0.0,323.31,2351000000.0,494;1199;1242;6286;9087;9485;10292;11544;13352;13934;13958;13959;14110;14125;15371;19616;19649;22131;26363;27071;27460;27739;27742;28802;28803;29822,1726;1727;1728;1729;4104;4105;4106;4107;4244;4245;4246;4247;4248;4249;4250;4251;4252;4253;4254;4255;4256;4257;4258;4259;22277;22278;22279;22280;22281;22282;22283;22284;22285;22286;22287;22288;22289;22290;22291;22292;31671;31672;31673;31674;31675;31676;31677;31678;31679;31680;31681;33029;33030;33031;33032;33033;33034;33035;33036;33037;33038;35928;35929;35930;35931;40349;40350;47073;47074;47075;47076;47077;47078;47079;49288;49289;49290;49291;49292;49293;49294;49295;49296;49297;49298;49299;49300;49301;49302;49303;49304;49305;49306;49307;49308;49418;49419;49420;49421;49422;49423;49424;49425;49426;49427;49428;49429;49430;49431;49432;49433;49434;49435;49436;49437;49438;49976;49977;49978;49979;49980;49981;49982;49983;49984;49985;50028;50029;54402;54403;54404;54405;54406;68251;68252;68253;68254;68255;68256;68257;68381;68382;68383;76951;90880;90881;90882;93235;93236;93237;93238;93239;93240;94532;94533;94534;94535;94536;94537;94538;94539;94540;94541;94542;94543;95705;95706;95707;95708;95709;95710;95711;95712;95715;95716;95717;95718;95719;95720;95721;95722;95723;99980;99981;99982;99983;99984;99985;99986;99987;99988;99989;99990;99991;99992;99993;99994;99995;99996;99997;99998;99999;100000;100001;100002;100003;100004;100005;103637;103638;103639;103640;103641;103642;103643;103644;103645;103646;103647;103648;103649;103650,1808
P06730,Eukaryotic translation initiation factor 4E (eIF-4E) (eIF4E) (eIF-4F 25 kDa subunit) (mRNA cap-binding protein),EIF4E EIF4EL1 EIF4F,4,32.7,25.097,217,0.0,66.814,118240000.0,2616;3636;12777;14661,9205;9206;9207;12745;12746;12747;44799;44800;44801;51967;51968;51969;51970;51971;51972;51973,9589
P06733,Alpha-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (C-myc promoter-binding protein) (Enolase 1) (MBP-1) (MPB-1) (Non-neural enolase) (NNE) (Phosphopyruvate hydratase) (Plasminogen-binding protein),ENO1 ENO1L1 MBPB1 MPB1,33,75.8,47.168,434,0.0,323.31,16954000000.0,336;337;338;2694;3246;3247;5333;6256;8706;9437;9438;11164;12239;12967;13058;13285;15689;15690;16526;16555;18375;18519;18520;23610;23996;24080;24116;24117;26364;29192;29886;30509;30865,1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120;1121;1122;1123;1124;1125;1126;1127;1128;1129;1130;1131;1132;1133;1134;1135;1136;1137;1138;1139;1140;1141;1142;9486;9487;9488;9489;9490;9491;9492;9493;9494;9495;9496;9497;9498;9499;9500;9501;11373;11374;11375;11376;11377;11378;11379;11380;11381;11382;11383;11384;11385;11386;11387;11388;11389;11390;11391;11392;11393;11394;11395;11396;11397;11398;11399;11400;11401;11402;11403;11404;11405;11406;11407;11408;11409;11410;18829;18830;18831;18832;18833;18834;18835;18836;18837;18838;18839;18840;18841;18842;18843;22131;22132;22133;22134;22135;22136;30402;30403;30404;30405;32845;32846;32847;32848;32849;32850;32851;32852;32853;32854;32855;32856;32857;32858;32859;32860;32861;32862;32863;32864;32865;32866;32867;32868;32869;32870;32871;32872;32873;32874;32875;32876;32877;32878;32879;39051;39052;39053;39054;39055;39056;39057;39058;39059;39060;39061;39062;39063;39064;39065;39066;39067;39068;39069;39070;39071;39072;39073;43011;43012;43013;43014;43015;43016;43017;43018;43019;43020;43021;43022;43023;43024;43025;43026;43027;43028;45510;45511;45512;45513;45514;45515;45516;45517;45518;45519;45520;45521;45522;45523;45524;45525;45526;45527;45528;45529;45530;45531;45532;45533;45534;45535;45536;45537;45538;45922;45923;45924;45925;45926;45927;45928;45929;45930;45931;45932;45933;45934;45935;46756;46757;46758;46759;46760;46761;46762;46763;46764;46765;46766;46767;46768;46769;46770;55407;55408;55409;55410;55411;55412;55413;55414;55415;55416;55417;55418;55419;55420;55421;55422;55423;55424;55425;55426;55427;55428;57991;57992;57993;57994;57995;57996;57997;57998;57999;58000;58001;58002;58003;58004;58005;58006;58007;58008;58009;58010;58011;58012;58013;58014;58015;58016;58017;58018;58019;58020;58021;58022;58023;58024;58025;58026;58149;58150;58151;58152;58153;58154;64227;64228;64229;64230;64231;64232;64233;64234;64235;64236;64237;64238;64239;64240;64241;64242;64243;64244;64245;64246;64247;64248;64249;64250;64251;64252;64253;64254;64255;64256;64257;64258;64259;64805;64806;64807;64808;64809;64810;64811;64812;64813;64814;64815;64816;81300;81301;81302;81303;81304;81305;81306;81307;82726;83044;83045;83046;83047;83148;83149;83150;83151;83152;83153;83154;83155;83156;83157;83158;83159;83160;83161;83162;83163;83164;83165;83166;90883;90884;90885;90886;90887;90888;90889;90890;90891;90892;90893;90894;90895;90896;90897;90898;101393;101394;101395;101396;101397;101398;101399;101400;101401;101402;101403;101404;101405;101406;101407;101408;101409;101410;101411;101412;101413;103906;103907;103908;103909;103910;103911;105919;105920;105921;105922;105923;105924;105925;105926;105927;107298;107299;107300;107301;107302;107303;107304;107305;107306;107307;107308;107309;107310;107311;107312;107313;107314;107315;107316;107317;107318;107319,1170
P06737,"Glycogen phosphorylase, liver form (EC 2.4.1.1)",PYGL,24,37.3,97.147,847,0.0,108.87,203170000.0,1445;3509;3534;5357;8288;8372;9410;9733;10758;12334;12924;12925;13454;14380;17608;17797;19592;21048;25102;27042;28144;28637;29063;30241;30282;30616,5004;5005;12335;12397;12398;12399;12400;12401;18937;18938;18939;18940;28974;29237;32774;32775;33891;37658;37659;37660;37661;43301;43302;45341;45342;45343;45344;45345;45346;47500;50871;61726;61727;62389;62390;62391;62392;62393;68155;68156;73238;86405;93173;93174;97282;99389;99390;99391;99392;99393;99394;99395;100847;100848;100849;100850;100851;100852;105023;105151;106332;106333;106334;106335;106336,5218
P06744,Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Autocrine motility factor) (AMF) (Neuroleukin) (NLK) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Sperm antigen 36) (SA-36),GPI,23,48.7,63.146,558,0.0,289.1,1744199999.9999998,4642;5176;8270;8382;12170;13124;13820;15143;15461;17143;20208;20209;20297;24790;24791;25312;26173;26174;26468;26557;27944;28264;30046,16439;16440;16441;16442;18193;18194;18195;28910;28911;28912;28913;28914;28915;28916;28917;28918;28919;28920;28921;28922;28923;29279;29280;29281;29282;29283;29284;29285;29286;29287;42778;42779;42780;42781;46186;46187;46188;48911;48912;48913;48914;48915;53674;53675;54713;54714;54715;54716;54717;54718;54719;54720;54721;54722;60032;70385;70386;70387;70388;70389;70390;70391;70392;70393;70394;70395;70396;70397;70398;70399;70400;70401;70402;70403;70404;70405;70742;85393;85394;85395;85396;85397;85398;85399;85400;85401;85402;85403;85404;85405;85406;85407;85408;85409;85410;85411;85412;85413;85414;85415;85416;85417;85418;85419;85420;85421;85422;85423;85424;85425;87149;90172;90173;90174;90175;90176;90177;90178;90179;91292;91293;91294;91295;91296;91297;91298;91611;91612;91613;91614;91615;91616;91617;91618;91619;91620;91621;91622;91623;91624;91625;96572;96573;96574;97839;97840;97841;97842;97843;97844;97845;104467;104468;104469;104470;104471;104472,17122
P06748,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),NPM1 NPM,19,66.7,32.575,294,0.0,295.13,7049099999.999999,490;491;2997;3413;4862;11321;11372;18273;20044;20382;20452;20458;23358;23528;24414;27510;27511;27997;29699,1695;1696;1697;1698;1699;1700;1701;1702;1703;1704;1705;1706;1707;1708;1709;1710;1711;1712;1713;1714;1715;1716;1717;1718;1719;1720;10525;11994;11995;11996;11997;11998;11999;12000;12001;12002;12003;12004;12005;12006;12007;12008;12009;12010;12011;17120;17121;17122;17123;17124;39561;39562;39563;39564;39565;39566;39567;39568;39569;39570;39571;39572;39573;39574;39575;39735;63932;63933;63934;63935;63936;69800;69801;69802;69803;69804;69805;69806;69807;69808;69809;69810;69811;69812;69813;69814;69815;69816;69817;69818;69819;69820;69821;69822;70995;70996;70997;70998;70999;71000;71001;71002;71206;71207;71208;71209;71210;71211;71212;71213;71214;71215;71216;71217;71218;71219;71220;71221;71222;71223;71224;71225;71226;71227;71228;71229;71230;71231;71232;71233;71234;71235;71236;71237;71247;71248;71249;71250;71251;71252;71253;71254;71255;71256;71257;71258;71259;71260;71261;71262;71263;80530;81029;81030;81031;81032;81033;84203;84204;94746;94747;94748;94749;94750;94751;94752;94753;94754;94755;94756;94757;94758;94759;94760;94761;94762;94763;94764;94765;94766;94767;94768;94769;94770;94771;94772;94773;96757;96758;96759;96760;96761;96762;96763;96764;96765;96766;96767;96768;96769;96770;103163;103164,1760
