Protein IDs,Protein names,Gene Names,LNCaP/RWPE-1 normalized median-scaling 1st,LNCaP/RWPE-1 normalized median-scaling 2nd,LNCaP/RWPE-1 normalized median-scaling 3rd,Best MS/MS
P14625,Endoplasmin (94 kDa glucose-regulated protein) (GRP-94) (Heat shock protein 90 kDa beta member 1) (Tumor rejection antigen 1) (gp96 homolog),HSP90B1 GRP94 TRA1,1.079468242,1.06199914,1.07209073,48607
P14735,Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin),IDE,1.235352043,1.283903435,1.22504931,8314
P14854,Cytochrome c oxidase subunit 6B1 (Cytochrome c oxidase subunit VIb isoform 1) (COX VIb-1),COX6B1 COX6B,2.680452979,2.81302212,2.678402367,7793
P14866,Heterogeneous nuclear ribonucleoprotein L (hnRNP L),HNRNPL HNRPL P/OKcl.14,0.858897095,0.896791492,0.88122288,15326
P14868,"Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Cell proliferation-inducing gene 40 protein)",DARS1 DARS PIG40,0.942708026,0.966384201,0.895236686,5592
P14923,Junction plakoglobin (Catenin gamma) (Desmoplakin III) (Desmoplakin-3),JUP CTNNG DP3,1.226193993,1.186457635,1.212228797,19489
P15104,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Palmitoyltransferase GLUL) (EC 2.3.1.225),GLUL GLNS,0.398719842,0.389052855,0.414240631,48763
P15153,Ras-related C3 botulinum toxin substrate 2 (GX) (Small G protein) (p21-Rac2),RAC2,0.498197932,0.541284404,0.535700197,33936
P15170,Eukaryotic peptide chain release factor GTP-binding subunit ERF3A (Eukaryotic peptide chain release factor subunit 3a) (eRF3a) (G1 to S phase transition protein 1 homolog),GSPT1 ERF3A,1.034958149,1.111122227,1.043885602,47442
P15289,Arylsulfatase A (ASA) (EC 3.1.6.8) (Cerebroside-sulfatase) [Cleaved into: Arylsulfatase A component B; Arylsulfatase A component C],ARSA,1.448645987,1.539323482,1.132741617,26139
P15311,Ezrin (Cytovillin) (Villin-2) (p81),EZR VIL2,0.297282127,0.316058548,0.314861933,20196
P15374,Ubiquitin carboxyl-terminal hydrolase isozyme L3 (UCH-L3) (EC 3.4.19.12) (Ubiquitin thioesterase L3),UCHL3,0.906233383,1.290206397,0.846489152,100665
P15531,Nucleoside diphosphate kinase A (NDK A) (NDP kinase A) (EC 2.7.4.6) (Granzyme A-activated DNase) (GAAD) (Metastasis inhibition factor nm23) (NM23-H1) (Tumor metastatic process-associated protein),NME1 NDPKA NM23,1.191531265,1.08751113,1.143885602,58481
P15559,NAD(P)H dehydrogenase [quinone] 1 (EC 1.6.5.2) (Azoreductase) (DT-diaphorase) (DTD) (Menadione reductase) (NAD(P)H:quinone oxidoreductase 1) (Phylloquinone reductase) (Quinone reductase 1) (QR1),NQO1 DIA4 NMOR1,1.216051206,1.239882745,1.133333333,18675
P15586,N-acetylglucosamine-6-sulfatase (EC 3.1.6.14) (Glucosamine-6-sulfatase) (G6S),GNS,2.407779419,2.438646164,2.035601578,10804
P15880,40S ribosomal protein S2 (40S ribosomal protein S4) (Protein LLRep3) (Small ribosomal subunit protein uS5),RPS2 RPS4,0.902668636,0.900113053,0.891380671,7784
P15924,Desmoplakin (DP) (250/210 kDa paraneoplastic pemphigus antigen),DSP,0.342934515,0.323672126,0.318353057,8753
P15927,Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34),RPA2 REPA2 RPA32 RPA34,1.109798129,1.214870989,1.471597633,4917
P16152,"Carbonyl reductase [NADPH] 1 (EC 1.1.1.184) (15-hydroxyprostaglandin dehydrogenase [NADP(+)]) (EC 1.1.1.196, EC 1.1.1.197) (20-beta-hydroxysteroid dehydrogenase) (Alcohol dehydrogenase [NAD(P)+] CBR1) (EC 1.1.1.71) (NADPH-dependent carbonyl reductase 1) (Prostaglandin 9-ketoreductase) (PG-9-KR) (Prostaglandin-E(2) 9-reductase) (EC 1.1.1.189) (Short chain dehydrogenase/reductase family 21C member 1)",CBR1 CBR CRN SDR21C1,1.036927622,1.045691475,0.959852071,62051
P16401,Histone H1.5 (Histone H1a) (Histone H1b) (Histone H1s-3),H1-5 H1F5 HIST1H1B,0.895903496,0.978579933,1.049605523,16074
P16402,Histone H1.3 (Histone H1c) (Histone H1s-2),H1-3 H1F3 HIST1H1D,1.005317578,1.029683951,1.013510848,15974
P16422,Epithelial cell adhesion molecule (Ep-CAM) (Adenocarcinoma-associated antigen) (Cell surface glycoprotein Trop-1) (Epithelial cell surface antigen) (Epithelial glycoprotein) (EGP) (Epithelial glycoprotein 314) (EGP314) (hEGP314) (KS 1/4 antigen) (KSA) (Major gastrointestinal tumor-associated protein GA733-2) (Tumor-associated calcium signal transducer 1) (CD antigen CD326),EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1,1.497390448,1.441077306,1.28816568,15890
P16435,NADPH--cytochrome P450 reductase (CPR) (P450R) (EC 1.6.2.4),POR CYPOR,1.08990645,1.150940942,1.130670611,90905
P16615,"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2 (SERCA2) (SR Ca(2+)-ATPase 2) (EC 7.2.2.10) (Calcium pump 2) (Calcium-transporting ATPase sarcoplasmic reticulum type, slow twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)",ATP2A2 ATP2B,0.696405711,0.722479565,0.686351085,8465
P16930,Fumarylacetoacetase (FAA) (EC 3.7.1.2) (Beta-diketonase) (Fumarylacetoacetate hydrolase),FAH,1.34938454,1.473992777,1.363017751,139148
P16949,Stathmin (Leukemia-associated phosphoprotein p18) (Metablastin) (Oncoprotein 18) (Op18) (Phosphoprotein p19) (pp19) (Prosolin) (Protein Pr22) (pp17),STMN1 C1orf215 LAP18 OP18,0.301585426,0.294858584,0.296232742,27945
P16989,Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB),YBX3 CSDA DBPA,0.597223043,0.710033716,0.602110454,11660
P17174,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",GOT1,1.109699655,1.087311036,1.131459566,24715
P17480,Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1),UBTF UBF UBF1,1.443919252,1.502706272,1.38678501,7965
P17812,CTP synthase 1 (EC 6.3.4.2) (CTP synthetase 1) (UTP--ammonia ligase 1),CTPS1 CTPS,0.392998523,0.418756816,0.405226824,37712
P17844,Probable ATP-dependent RNA helicase DDX5 (EC 3.6.4.13) (DEAD box protein 5) (RNA helicase p68),DDX5 G17P1 HELR HLR1,0.813953717,0.811141236,0.821134122,24332
P17858,"ATP-dependent 6-phosphofructokinase, liver type (ATP-PFK) (PFK-L) (EC 2.7.1.11) (6-phosphofructokinase type B) (Phosphofructo-1-kinase isozyme B) (PFK-B) (Phosphohexokinase)",PFKL,1.628655835,1.567036507,1.679191321,913
P17980,26S proteasome regulatory subunit 6A (26S proteasome AAA-ATPase subunit RPT5) (Proteasome 26S subunit ATPase 3) (Proteasome subunit P50) (Tat-binding protein 1) (TBP-1),PSMC3 TBP1,0.794170359,0.805288486,0.81943787,22025
P17987,T-complex protein 1 subunit alpha (TCP-1-alpha) (CCT-alpha),TCP1 CCT1 CCTA,0.961211226,0.963782978,0.935315582,10393
P18031,Tyrosine-protein phosphatase non-receptor type 1 (EC 3.1.3.48) (Protein-tyrosine phosphatase 1B) (PTP-1B),PTPN1 PTP1B,0.177104874,0.192700569,0.173195266,63833
P18077,60S ribosomal protein L35a (Cell growth-inhibiting gene 33 protein) (Large ribosomal subunit protein eL33),RPL35A GIG33,1.036730675,1.017678309,0.990927022,43777
P18085,ADP-ribosylation factor 4,ARF4 ARF2,0.841900542,0.789140896,0.836262327,41092
P18124,60S ribosomal protein L7 (Large ribosomal subunit protein uL30),RPL7,0.91727228,0.967014497,0.906814596,12231
P18206,Vinculin (Metavinculin) (MV),VCL,0.501920236,0.491951217,0.481893491,14906
P18440,Arylamine N-acetyltransferase 1 (EC 2.3.1.5) (Arylamide acetylase 1) (Monomorphic arylamine N-acetyltransferase) (MNAT) (N-acetyltransferase type 1) (NAT-1),NAT1 AAC1,1.873855244,1.707002291,1.537080868,56102
P18583,Protein SON (Bax antagonist selected in saccharomyces 1) (BASS1) (Negative regulatory element-binding protein) (NRE-binding protein) (Protein DBP-5) (SON3),SON C21orf50 DBP5 KIAA1019 NREBP HSPC310 HSPC312,0.867779419,1.001770832,0.986982249,26198
P18621,60S ribosomal protein L17 (60S ribosomal protein L23) (Large ribosomal subunit protein uL22) (PD-1),RPL17,0.954396849,0.98068092,0.961518738,85849
P18669,Phosphoglycerate mutase 1 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 1) (Phosphoglycerate mutase isozyme B) (PGAM-B),PGAM1 PGAMA CDABP0006,0.763052683,0.839624624,0.8084714,19784
P18754,Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1),RCC1 CHC1,1.20108321,1.20576671,1.150887574,61601
P18859,"ATP synthase-coupling factor 6, mitochondrial (ATPase subunit F6) (ATP synthase peripheral stalk subunit F6)",ATP5PF ATP5A ATP5J ATPM,2.067749877,2.226646524,2.144477318,96608
P19105,"Myosin regulatory light chain 12A (Epididymis secretory protein Li 24) (HEL-S-24) (MLC-2B) (Myosin RLC) (Myosin regulatory light chain 2, nonsarcomeric) (Myosin regulatory light chain MRLC3)",MYL12A MLCB MRLC3 RLC,0.497311669,0.53755265,0.520936884,31371
P19338,Nucleolin (Protein C23),NCL,0.977449532,1.039088372,1.007988166,17656
P19367,Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A),HK1,0.935036928,0.943653517,0.941094675,3083
P19388,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (DNA-directed RNA polymerase II 23 kDa polypeptide) (DNA-directed RNA polymerase II subunit E) (RPB5 homolog) (XAP4)",POLR2E,0.98388971,1.092413434,1.119723866,18740
P19404,"NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial (EC 7.1.1.2) (NADH-ubiquinone oxidoreductase 24 kDa subunit)",NDUFV2,2.843919252,2.881454284,2.425246548,885
P19623,Spermidine synthase (SPDSY) (EC 2.5.1.16) (Putrescine aminopropyltransferase),SRM SPS1 SRML1,1.726144756,1.604454093,1.612524655,1599
P20020,Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1),ATP2B1 PMCA1,1.214869522,1.204366052,1.280374753,67941
P20042,Eukaryotic translation initiation factor 2 subunit 2 (Eukaryotic translation initiation factor 2 subunit beta) (eIF-2-beta),EIF2S2 EIF2B,0.519921221,0.602293078,0.617889546,40759
P20073,Annexin A7 (Annexin VII) (Annexin-7) (Synexin),ANXA7 ANX7 SNX OK/SW-cl.95,1.240866568,1.259992196,1.285108481,38965
P20290,Transcription factor BTF3 (Nascent polypeptide-associated complex subunit beta) (NAC-beta) (RNA polymerase B transcription factor 3),BTF3 NACB OK/SW-cl.8,0.646262925,0.628015167,0.63300789,24452
P20337,Ras-related protein Rab-3B,RAB3B,0.881890694,0.865556812,0.953353057,29247
P20340,Ras-related protein Rab-6A (Rab-6),RAB6A RAB6,0.679320532,0.61749022,0.688461538,60313
P20618,Proteasome subunit beta type-1 (Macropain subunit C5) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5) (Proteasome gamma chain),PSMB1 PSC5,0.852752339,0.7876602,0.821143984,11844
P20674,"Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)",COX5A,1.582668636,1.719208028,1.449605523,121112
P20700,Lamin-B1,LMNB1 LMN2 LMNB,1.036041359,0.965373726,1.002366864,8419
P20810,Calpastatin (Calpain inhibitor) (Sperm BS-17 component),CAST,0.202491384,0.226516463,0.215098619,701
P20839,Inosine-5'-monophosphate dehydrogenase 1 (IMP dehydrogenase 1) (IMPD 1) (IMPDH 1) (EC 1.1.1.205) (IMPDH-I),IMPDH1 IMPD1,0.409000492,0.396656429,0.367209073,46761
P21266,Glutathione S-transferase Mu 3 (EC 2.5.1.18) (GST class-mu 3) (GSTM3-3) (hGSTM3-3),GSTM3 GST5,1.643032989,1.862975599,1.754733728,37692
P21281,"V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)",ATP6V1B2 ATP6B2 VPP3,1.109699655,1.129630927,1.105424063,35196
P21283,V-type proton ATPase subunit C 1 (V-ATPase subunit C 1) (Vacuolar proton pump subunit C 1),ATP6V1C1 ATP6C ATP6D VATC,0.855558838,0.788350525,0.909477318,102945
P21291,Cysteine and glycine-rich protein 1 (Cysteine-rich protein 1) (CRP) (CRP1) (Epididymis luminal protein 141) (HEL-141),CSRP1 CSRP CYRP,0.805179714,0.874060809,0.869792899,116016
P21333,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),FLNA FLN FLN1,0.137971443,0.151010975,0.143994083,7647
P21397,Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A),MAOA,4.522895126,4.754434584,4.454635108,28144
P21399,Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1),ACO1 IREB1,0.578808469,0.539773694,0.559635108,43248
P21796,Voltage-dependent anion-selective channel protein 1 (VDAC-1) (hVDAC1) (Outer mitochondrial membrane protein porin 1) (Plasmalemmal porin) (Porin 31HL) (Porin 31HM),VDAC1 VDAC,1.048842935,1.073904735,1.038757396,34668
P21912,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (EC 1.3.5.1) (Iron-sulfur subunit of complex II) (Ip)",SDHB SDH SDH1,0.964579025,0.912819025,1.027514793,53999
P21926,CD9 antigen (5H9 antigen) (Cell growth-inhibiting gene 2 protein) (Leukocyte antigen MIC3) (Motility-related protein) (MRP-1) (Tetraspanin-29) (Tspan-29) (p24) (CD antigen CD9),CD9 MIC3 TSPAN29 GIG2,1.216838996,1.121327024,1.192307692,14376
P21964,Catechol O-methyltransferase (EC 2.1.1.6),COMT,1.986213688,1.897391774,1.997337278,49411
P22033,"Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)",MMUT MUT,1.373707533,1.375246366,1.013609467,4336
P22059,Oxysterol-binding protein 1,OSBP OSBP1,1.258000985,1.353536162,1.267850099,30060
P22061,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PIMT) (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl/D-aspartyl methyltransferase) (Protein-beta-aspartate methyltransferase),PCMT1,0.633037912,0.636389103,0.63229783,17064
P22087,rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin),FBL FIB1 FLRN,1.246085672,1.204566146,1.255424063,22968
P22102,Trifunctional purine biosynthetic protein adenosine-3 [Includes: Phosphoribosylamine--glycine ligase (EC 6.3.4.13) (Glycinamide ribonucleotide synthetase) (GARS) (Phosphoribosylglycinamide synthetase); Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1) (AIR synthase) (AIRS) (Phosphoribosyl-aminoimidazole synthetase); Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)],GART PGFT PRGS,0.527759724,0.570828289,0.545700197,1668
P22234,Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase (PAICS) [Includes: Phosphoribosylaminoimidazole carboxylase (EC 4.1.1.21) (AIR carboxylase) (AIRC); Phosphoribosylaminoimidazole succinocarboxamide synthetase (EC 6.3.2.6) (SAICAR synthetase)],PAICS ADE2 AIRC PAIS,1.081437715,1.108320911,1.045956607,4765
P22307,Sterol carrier protein 2 (SCP-2) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Non-specific lipid-transfer protein) (NSL-TP) (Propanoyl-CoA C-acyltransferase) (EC 2.3.1.176) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (EC 2.3.1.16) (SCP-chi) (SCPX) (Sterol carrier protein X) (SCP-X),SCP2,2.396061054,2.327093734,2.122583826,5164
P22314,Ubiquitin-like modifier-activating enzyme 1 (EC 6.2.1.45) (Protein A1S9) (Ubiquitin-activating enzyme E1),UBA1 A1S9T UBE1,1.088429345,1.095214751,1.098126233,3741
P22392,Nucleoside diphosphate kinase B (NDK B) (NDP kinase B) (EC 2.7.4.6) (C-myc purine-binding transcription factor PUF) (Histidine protein kinase NDKB) (EC 2.7.13.3) (nm23-H2),NME2 NM23B,0.77173806,0.818444669,0.807406312,58513
P22570,"NADPH:adrenodoxin oxidoreductase, mitochondrial (AR) (Adrenodoxin reductase) (EC 1.18.1.6) (Ferredoxin--NADP(+) reductase) (Ferredoxin reductase)",FDXR ADXR,3.0183161,3.026122277,3.060059172,17525
P22626,Heterogeneous nuclear ribonucleoproteins A2/B1 (hnRNP A2/B1),HNRNPA2B1 HNRPA2B1,0.920728705,0.957570058,0.938106509,64768
P22694,cAMP-dependent protein kinase catalytic subunit beta (PKA C-beta) (EC 2.7.11.11),PRKACB,1.354997538,1.455684172,1.414990138,51652
P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial (Complex III subunit 2) (Core protein II) (Ubiquinol-cytochrome-c reductase complex core protein 2)",UQCRC2,2.025504677,2.142807119,2.226035503,29429
P22830,"Ferrochelatase, mitochondrial (EC 4.98.1.1) (Heme synthase) (Protoheme ferro-lyase)",FECH,4.287346135,4.003381589,4.550394477,13535
P23193,Transcription elongation factor A protein 1 (Transcription elongation factor S-II protein 1) (Transcription elongation factor TFIIS.o),TCEA1 GTF2S TFIIS,1.122304284,1.147839485,1.144378698,61767
P23246,"Splicing factor, proline- and glutamine-rich (100 kDa DNA-pairing protein) (hPOMp100) (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)",SFPQ PSF,1.115805022,1.050193591,1.105325444,8629
P23258,Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1),TUBG1 TUBG,0.632151649,0.655237962,0.620295858,34227
P23284,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (CYP-S1) (Cyclophilin B) (Rotamase B) (S-cyclophilin) (SCYLP),PPIB CYPB,0.98897095,0.989044851,0.971873767,44761
P23368,"NAD-dependent malic enzyme, mitochondrial (NAD-ME) (EC 1.1.1.38) (Malic enzyme 2)",ME2,3.04549483,3.085450162,2.713412229,20948
P23381,"Tryptophan--tRNA ligase, cytoplasmic (EC 6.1.1.2) (Interferon-induced protein 53) (IFP53) (Tryptophanyl-tRNA synthetase) (TrpRS) (hWRS) [Cleaved into: T1-TrpRS; T2-TrpRS]",WARS1 IFI53 WARS WRS,0.61140325,0.696377297,0.667278107,5155
P23396,40S ribosomal protein S3 (EC 4.2.99.18) (Small ribosomal subunit protein uS3),RPS3 OK/SW-cl.26,0.916996553,0.889668144,0.921282051,5003
P23434,"Glycine cleavage system H protein, mitochondrial (Lipoic acid-containing protein)",GCSH,1.889512555,2.222844737,2.295069034,3342
P23526,Adenosylhomocysteinase (AdoHcyase) (EC 3.3.1.1) (S-adenosyl-L-homocysteine hydrolase),AHCY SAHH,0.918060069,0.918441668,0.926282051,16878
P23528,"Cofilin-1 (18 kDa phosphoprotein) (p18) (Cofilin, non-muscle isoform)",CFL1 CFL,0.755992122,0.732284174,0.755700197,28003
P23588,Eukaryotic translation initiation factor 4B (eIF-4B),EIF4B,1.039192516,0.927746041,0.821005917,3367
P23634,Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4),ATP2B4 ATP2B2 MXRA1,1.129985229,1.009874641,1.081952663,39678
P23743,Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha),DGKA DAGK DAGK1,0.54788774,0.538753214,0.584418146,19749
P23786,"Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)",CPT2 CPT1,3.322501231,3.375186338,3.649112426,12012
P23919,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),DTYMK CDC8 TMPK TYMK,1.090891187,1.211969626,1.211143984,83820
P23921,Ribonucleoside-diphosphate reductase large subunit (EC 1.17.4.1) (Ribonucleoside-diphosphate reductase subunit M1) (Ribonucleotide reductase large subunit),RRM1 RR1,0.835371738,0.826058247,0.824940828,42729
P24534,Elongation factor 1-beta (EF-1-beta),EEF1B2 EEF1B EF1B,0.602432299,0.695306794,0.550502959,176396
P24539,"ATP synthase F(0) complex subunit B1, mitochondrial (ATP synthase peripheral stalk-membrane subunit b) (ATP synthase proton-transporting mitochondrial F(0) complex subunit B1) (ATP synthase subunit b) (ATPase subunit b)",ATP5PB ATP5F1,1.798129,1.999139596,2.156410256,85392
P24666,Low molecular weight phosphotyrosine protein phosphatase (LMW-PTP) (LMW-PTPase) (EC 3.1.3.48) (Adipocyte acid phosphatase) (Low molecular weight cytosolic acid phosphatase) (EC 3.1.3.2) (Red cell acid phosphatase 1),ACP1,0.671334318,0.920622693,0.646508876,69487
P24752,"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)",ACAT1 ACAT MAT,2.261053668,2.173721649,2.480473373,45880
P25205,DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102),MCM3,0.870103397,0.836853321,0.819063116,12426
P25325,3-mercaptopyruvate sulfurtransferase (MST) (EC 2.8.1.2),MPST TST2,0.88695224,1.083709343,0.993984221,10304
P25398,40S ribosomal protein S12 (Small ribosomal subunit protein eS12),RPS12,0.916238306,0.910037718,0.916499014,7922
P25685,DnaJ homolog subfamily B member 1 (DnaJ protein homolog 1) (Heat shock 40 kDa protein 1) (HSP40) (Heat shock protein 40) (Human DnaJ protein 1) (hDj-1),DNAJB1 DNAJ1 HDJ1 HSPF1,0.469187592,0.635398637,0.572327416,65532
P25705,"ATP synthase subunit alpha, mitochondrial (ATP synthase F1 subunit alpha)",ATP5F1A ATP5A ATP5A1 ATP5AL2 ATPM,2.308714919,2.225245866,2.383629191,32533
P25786,Proteasome subunit alpha type-1 (30 kDa prosomal protein) (PROS-30) (Macropain subunit C2) (Multicatalytic endopeptidase complex subunit C2) (Proteasome component C2) (Proteasome nu chain),PSMA1 HC2 NU PROS30 PSC2,0.811560807,0.827548948,0.821143984,50536
P25787,Proteasome subunit alpha type-2 (Macropain subunit C3) (Multicatalytic endopeptidase complex subunit C3) (Proteasome component C3),PSMA2 HC3 PSC3,0.888429345,0.913799486,0.911360947,2730
P25788,Proteasome subunit alpha type-3 (Macropain subunit C8) (Multicatalytic endopeptidase complex subunit C8) (Proteasome component C8),PSMA3 HC8 PSC8,0.926715903,0.913839505,1.018836292,32921
P25789,Proteasome subunit alpha type-4 (Macropain subunit C9) (Multicatalytic endopeptidase complex subunit C9) (Proteasome component C9) (Proteasome subunit L),PSMA4 HC9 PSC9,0.905081241,0.867537743,0.888905325,90692
P26038,Moesin (Membrane-organizing extension spike protein),MSN,0.088157558,0.150060528,0.131045365,17615
P26196,Probable ATP-dependent RNA helicase DDX6 (EC 3.6.4.13) (ATP-dependent RNA helicase p54) (DEAD box protein 6) (Oncogene RCK),DDX6 HLR2 RCK,0.753156081,0.854071414,0.819447732,81329
P26368,Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit),U2AF2 U2AF65,1.066666667,1.045391334,1.059467456,22743
P26373,60S ribosomal protein L13 (Breast basic conserved protein 1) (Large ribosomal subunit protein eL13),RPL13 BBC1 OK/SW-cl.46,0.962737568,0.981891489,0.98530572,117174
P26440,"Isovaleryl-CoA dehydrogenase, mitochondrial (IVD) (EC 1.3.8.4) (Butyryl-CoA dehydrogenase) (EC 1.3.8.1)",IVD,2.632200886,2.31378748,2.278599606,27734
P26583,High mobility group protein B2 (High mobility group protein 2) (HMG-2),HMGB2 HMG2,0.859310684,0.81506308,1.078599606,140533
P26599,Polypyrimidine tract-binding protein 1 (PTB) (57 kDa RNA-binding protein PPTB-1) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I),PTBP1 PTB,0.862284589,0.924324432,0.857682446,25316
P26639,"Threonine--tRNA ligase 1, cytoplasmic (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS) (Threonyl-tRNA synthetase 1)",TARS1 TARS,0.673618907,0.684821866,0.644349112,6739
P26640,Valine--tRNA ligase (EC 6.1.1.9) (Protein G7a) (Valyl-tRNA synthetase) (ValRS),VARS1 G7A VARS VARS2,1.251206302,1.236381099,1.269033531,5755
P26641,Elongation factor 1-gamma (EF-1-gamma) (eEF-1B gamma),EEF1G EF1G PRO1608,0.787828656,0.809140296,0.777948718,667
P26885,Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase),FKBP2 FKBP13,1.052289513,1.126129281,1.143589744,134155
P27144,"Adenylate kinase 4, mitochondrial (AK 4) (EC 2.7.4.10) (EC 2.7.4.6) (Adenylate kinase 3-like) (GTP:AMP phosphotransferase AK4)",AK4 AK3 AK3L1,2.850910881,2.31378748,2.406114398,33792
P27348,14-3-3 protein theta (14-3-3 protein T-cell) (14-3-3 protein tau) (Protein HS1),YWHAQ,0.52347612,0.538603143,0.539802761,35091
P27635,60S ribosomal protein L10 (Laminin receptor homolog) (Large ribosomal subunit protein uL16) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM),RPL10 DXS648E QM,0.985524372,0.995758006,0.996351085,15951
P27694,"Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]",RPA1 REPA1 RPA70,1.261742984,1.339229438,1.300986193,29528
P27695,"DNA-(apurinic or apyrimidinic site) endonuclease (EC 3.1.11.2) (APEX nuclease) (APEN) (Apurinic-apyrimidinic endonuclease 1) (AP endonuclease 1) (APE-1) (REF-1) (Redox factor-1) [Cleaved into: DNA-(apurinic or apyrimidinic site) endonuclease, mitochondrial]",APEX1 APE APE1 APEX APX HAP1 REF1,1.395076317,1.462587416,1.347633136,18281
